path,category,scope,kind,size_bytes,pages,definition
00_START_HERE_MTJ.md,entrypoint,generic_local_synthesis,md,1091,,"Point d entree metier, technique et juridique du pack."
README.md,entrypoint,generic_local_synthesis,md,1394,,"Guide court du depot, demarrage de l application et chemins de lecture."
docs_core/calendrier_reforme.pdf,core,generic_official,pdf,371853,1,Calendrier officiel de la reforme facture electronique.
docs_core/circuit_transmission_factures_donnees.pdf,core,generic_official,pdf,213790,1,"Schema de circulation des factures, donnees de transaction et paiement."
docs_core/depliant_reforme_generique.pdf,core,generic_official,pdf,167733,2,Depliant officiel de presentation generale de la reforme.
docs_core/documentation_juridique.pdf,core,generic_official,pdf,42615,1,Documentation juridique officielle de cadrage.
docs_core/donnees_facture_intro.pdf,core,generic_official,pdf,52533,2,Introduction aux donnees de facture a transmettre.
docs_core/dossier_presse_campagne_2026.pdf,core,generic_official,pdf,3826899,24,Dossier de presse officiel de la campagne 2026.
docs_core/faq_je_decouvre.pdf,core,generic_official,pdf,114826,11,FAQ officielle de decouverte de la facturation electronique.
docs_international/webinaire_entreprises_etrangeres_2026_fr.pdf,international,generic_official,pdf,974653,25,Support officiel pour entreprises etrangeres ou audience anglophone.
docs_international/webinar_foreign_companies_2026_en.pdf,international,generic_official,pdf,1008876,26,Support officiel pour entreprises etrangeres ou audience anglophone.
docs_platforms/charte_solution_compatible.pdf,platforms,generic_official,pdf,3745598,34,"Document officiel sur PDP, OD, immatriculation, chartes ou labels."
docs_platforms/faq_pdp.pdf,platforms,generic_official,pdf,845828,2,"Document officiel sur PDP, OD, immatriculation, chartes ou labels."
docs_platforms/fiche_operateurs_dematerialisation.pdf,platforms,generic_official,pdf,63625,1,"Document officiel sur PDP, OD, immatriculation, chartes ou labels."
docs_platforms/fiche_plateformes_agreees.pdf,platforms,generic_official,pdf,101519,2,"Document officiel sur PDP, OD, immatriculation, chartes ou labels."
docs_platforms/guide_immatriculation_pdp.pdf,platforms,generic_official,pdf,1432644,28,"Document officiel sur PDP, OD, immatriculation, chartes ou labels."
docs_platforms/liste_documents_pdp.pdf,platforms,generic_official,pdf,82930,1,"Document officiel sur PDP, OD, immatriculation, chartes ou labels."
docs_platforms/presentation_labels_plateforme_agreee_solution_compatible.pdf,platforms,generic_official,pdf,149846,2,"Document officiel sur PDP, OD, immatriculation, chartes ou labels."
docs_platforms/reglement_charte_plateforme_agreee.pdf,platforms,generic_official,pdf,1791396,62,"Document officiel sur PDP, OD, immatriculation, chartes ou labels."
docs_specific/cegos_comexa_2026/README.md,cegos_comexa_specific,specific_company,md,1122,,Inventaire des supports specifiques Cegos/COMEXA.
docs_specific/cegos_comexa_2026/cegos_comexa_smartpocket_facture_electronique_2026-04-24.pdf,cegos_comexa_specific,specific_company,pdf,2816158,91,Support de formation Cegos COMEXA sur les enjeux et la mise en oeuvre.
